file,content.length,instruction,count,percentage
scale_vector_emu_fixed_point.s,359,nop,1,0.34%
scale_vector_neon.s,362,nop,1,0.33%
scale.s,362,nop,1,0.33%
scale_vector_emu_floating_point.s,379,nop,1,0.31%
scale_scalar_fixed_point.s,431,orr,12,3.13%
scale_vector_neon_gcc_O3.s,213,pop,2,1.28%
scale_vector_emu_fixed_point.s,359,pop,2,0.67%
scale_vector_neon.s,362,pop,2,0.66%
scale.s,362,pop,2,0.66%
scale_vector_emu_floating_point.s,379,pop,2,0.62%
scale_scalar_fixed_point.s,431,pop,2,0.52%
scale_optimized_scalar_fixed_point.s,269,pop,1,0.45%
scale_naive.s,288,pop,1,0.41%
scale_optimized_scalar_floating_point.s,286,pop,1,0.41%
scale_vector_neon_gcc_O3.s,213,push,2,1.28%
scale_vector_emu_fixed_point.s,359,push,2,0.67%
scale_vector_neon.s,362,push,2,0.66%
scale.s,362,push,2,0.66%
scale_vector_emu_floating_point.s,379,push,2,0.62%
scale_scalar_fixed_point.s,431,push,2,0.52%
scale_optimized_scalar_fixed_point.s,269,push,1,0.45%
scale_naive.s,288,push,1,0.41%
scale_optimized_scalar_floating_point.s,286,push,1,0.41%
scale_optimized_scalar_fixed_point.s,269,rsb,2,0.90%
scale_vector_neon_gcc_O3.s,213,rsb,1,0.64%
scale_scalar_fixed_point.s,431,rsb,2,0.52%
scale_vector_emu_fixed_point.s,359,rsb,1,0.34%
scale_vector_neon.s,362,rsb,1,0.33%
scale.s,362,rsb,1,0.33%
scale_naive.s,288,str,20,8.20%
scale_scalar_fixed_point.s,431,str,29,7.57%
scale_vector_neon_gcc_O3.s,213,str,8,5.13%
scale_vector_emu_fixed_point.s,359,str,52,17.45%
scale_optimized_scalar_fixed_point.s,269,str,30,13.57%
scale_vector_emu_floating_point.s,379,str,36,11.18%
scale_vector_neon.s,362,str,34,11.18%
scale.s,362,str,34,11.18%
scale_optimized_scalar_floating_point.s,286,str,25,10.33%
scale_naive.s,288,strb,6,2.46%
scale_vector_neon_gcc_O3.s,213,strb,1,0.64%
scale_optimized_scalar_fixed_point.s,269,strb,1,0.45%
scale_optimized_scalar_floating_point.s,286,strb,1,0.41%
scale_vector_emu_fixed_point.s,359,strb,1,0.34%
scale_vector_neon.s,362,strb,1,0.33%
scale.s,362,strb,1,0.33%
scale_vector_emu_floating_point.s,379,strb,1,0.31%
scale_scalar_fixed_point.s,431,strb,1,0.26%
scale_optimized_scalar_fixed_point.s,269,sub,9,4.07%
scale_vector_emu_fixed_point.s,359,sub,10,3.36%
scale_optimized_scalar_floating_point.s,286,sub,7,2.89%
scale_vector_neon.s,362,sub,8,2.63%
scale.s,362,sub,8,2.63%
scale_scalar_fixed_point.s,431,sub,10,2.61%
scale_vector_emu_floating_point.s,379,sub,4,1.24%
scale_naive.s,288,sub,3,1.23%
scale_vector_neon_gcc_O3.s,213,sub,1,0.64%
scale_vector_neon_gcc_O3.s,213,subs,1,0.64%
scale_vector_neon_gcc_O3.s,213,ubfx,2,1.28%
scale_scalar_fixed_point.s,431,umull,12,3.13%
scale_optimized_scalar_fixed_point.s,269,uxtb,1,0.45%
scale_optimized_scalar_floating_point.s,286,uxtb,1,0.41%
scale_vector_emu_fixed_point.s,359,uxtb,1,0.34%
scale_vector_neon.s,362,uxtb,1,0.33%
scale.s,362,uxtb,1,0.33%
scale_vector_emu_floating_point.s,379,uxtb,1,0.31%
scale_scalar_fixed_point.s,431,uxtb,1,0.26%
scale_optimized_scalar_floating_point.s,286,vadd.f32,3,1.24%
scale_naive.s,288,vadd.f32,3,1.23%
scale_vector_neon.s,362,vadd.i32,1,0.33%
scale.s,362,vadd.i32,1,0.33%
scale_naive.s,288,vcvt.f32.f64,3,1.23%
scale_vector_neon_gcc_O3.s,213,vcvt.f32.f64,1,0.64%
scale_optimized_scalar_fixed_point.s,269,vcvt.f32.f64,1,0.45%
scale_optimized_scalar_floating_point.s,286,vcvt.f32.f64,1,0.41%
scale_vector_emu_fixed_point.s,359,vcvt.f32.f64,1,0.34%
scale_vector_neon.s,362,vcvt.f32.f64,1,0.33%
scale.s,362,vcvt.f32.f64,1,0.33%
scale_vector_emu_floating_point.s,379,vcvt.f32.f64,1,0.31%
scale_scalar_fixed_point.s,431,vcvt.f32.f64,1,0.26%
scale_naive.s,288,vcvt.f32.s32,4,1.64%
scale_optimized_scalar_floating_point.s,286,vcvt.f32.u32,12,4.96%
scale_vector_emu_floating_point.s,379,vcvt.f32.u32,12,3.73%
scale_vector_neon_gcc_O3.s,213,vcvt.f32.u32,2,1.28%
scale_optimized_scalar_fixed_point.s,269,vcvt.f32.u32,2,0.90%
scale_naive.s,288,vcvt.f32.u32,2,0.82%
scale_vector_emu_fixed_point.s,359,vcvt.f32.u32,2,0.67%
scale_vector_neon.s,362,vcvt.f32.u32,2,0.66%
scale.s,362,vcvt.f32.u32,2,0.66%
scale_scalar_fixed_point.s,431,vcvt.f32.u32,2,0.52%
scale_naive.s,288,vcvt.f64.f32,1,0.41%
scale_naive.s,288,vcvt.f64.u32,6,2.46%
scale_vector_emu_floating_point.s,379,vcvt.u32.f32,8,2.48%
scale_optimized_scalar_floating_point.s,286,vcvt.u32.f32,5,2.07%
scale_vector_neon_gcc_O3.s,213,vcvt.u32.f32,3,1.92%
scale_optimized_scalar_fixed_point.s,269,vcvt.u32.f32,3,1.36%
scale_naive.s,288,vcvt.u32.f32,3,1.23%
scale_vector_emu_fixed_point.s,359,vcvt.u32.f32,3,1.01%
scale_vector_neon.s,362,vcvt.u32.f32,3,0.99%
scale.s,362,vcvt.u32.f32,3,0.99%
scale_scalar_fixed_point.s,431,vcvt.u32.f32,3,0.78%
scale_naive.s,288,vcvt.u32.f64,2,0.82%
scale_vector_neon_gcc_O3.s,213,vdiv.f32,1,0.64%
scale_optimized_scalar_fixed_point.s,269,vdiv.f32,1,0.45%
scale_naive.s,288,vdiv.f32,1,0.41%
scale_optimized_scalar_floating_point.s,286,vdiv.f32,1,0.41%
scale_vector_emu_fixed_point.s,359,vdiv.f32,1,0.34%
scale_vector_neon.s,362,vdiv.f32,1,0.33%
scale.s,362,vdiv.f32,1,0.33%
scale_vector_emu_floating_point.s,379,vdiv.f32,1,0.31%
scale_scalar_fixed_point.s,431,vdiv.f32,1,0.26%
scale_vector_neon_gcc_O3.s,213,vld1.32,2,1.28%
scale_vector_neon.s,362,vld1.32,2,0.66%
scale.s,362,vld1.32,2,0.66%
scale_vector_neon_gcc_O3.s,213,vldm,1,0.64%
scale_vector_neon.s,362,vldr,38,12.50%
scale.s,362,vldr,38,12.50%
scale_vector_neon_gcc_O3.s,213,vldr,2,1.28%
scale_optimized_scalar_floating_point.s,286,vldr.32,17,7.02%
scale_naive.s,288,vldr.32,11,4.51%
scale_vector_emu_floating_point.s,379,vldr.32,36,11.18%
scale_optimized_scalar_fixed_point.s,269,vldr.32,4,1.81%
